path,bytes,sha256
budget_table.csv,823,d50baa6ec031755af6d73cdae9e66b6e57b4f1e6944ccd477d4f4c4e0a9495d6
budget_table.json,283,dbbfeaf149b0726fdac4ea92ec667c3a3790c9b67ec7b12e71e9ad2a68110190
failure_cases.csv,35836,15835ce5344064eb95c692b99c60a727335c7557d3d752ea51a66c71432c57ac
failure_cause_summary.csv,310,899dfa3e7c1e3cb9720ad78d35882d056789a0af615c54588b6826458d738a1f
figures/exemplar_failure_timeseries.csv,57849,34e506bd3ee44ca0e25005511bd6bde2123ee669f4b9fcafe79dab082605ceae
figures/exemplar_manifest.csv,369,6e34b1bfa18f3c78ef9ea249a3ce2c6b7d7219336deb884e1528197aa3944e14
figures/exemplar_median_timeseries.csv,60589,213480a3e58e433ec948d2de3a999d3f0d566e47cad552085cc2c017687c4674
figures/fig_failure_coaxial.png,211476,5339a14ca0b5582ce136a33bd61896767f5feadf2daaa085bffc77c37b846c5a
figures/fig_median_coaxial.png,166415,df1620e4076c07fde78bd6d87933483444bcce1f25c028b9febac136ce25fc7c
gp_attribution.csv,1969,349985d80eee8d59adcd14b42280849311a0704457eacb9b2fe3eca7a36d0ce2
gp_attribution_summary.json,785,b48bd3efa58f4f75f379ce51a3abc15eb10562e5a02e2dbd53c83bd8ac0b8c86
llm_policy.json,140,3148466281e916307fe47868a7c5d40ec0ea31a77f7bcadab18fd568bf6226b5
manifest.yaml,3396,ee4caa461fcc11a685ca65def2130466ddfad157dee1d0fb2b638c2bac7dfd8c
sealed_80_details.csv,146289,1384ade883e77d3185614f0e24d00db54f0b0d68f7bfee3ab138a2029bb88aff
sealed_80_summary.csv,1135,06d363127a7346a8af4ba5ab91e44c4303dce93b0917bd1bb367e2eb186e085c
sealed_ablation.csv,1170,b61a6a822dd8b6098ba22bcd7574fe125647a3630b17e3e50a03a4870361f8e9
sealed_provenance.json,3472,0779ec05e5c3742bb485af978a8bd7af8bee2e889e39ee90d01d17ef7b81c133
sealed_scenarios.csv,31577,2f88fa89fdf4c8bcfd5d1953e32cb49155c7948aea4f9fd6bdc75ed6ce0b1e5c
